פֿאַרװאָס;why;farvos
דער כּישוף;magic;der kishef
די בתולה (בתולות);virgin (female);di bsule(s) / psule(s)
חלילה;God forbid, heaven forbid;kholile
ברוגז;angry (with a person);broygez
דער אײזל(ען);donkey, fool, ass;der eyzl(en)
מקנא;jealous;mekane
דער צלם(ים);cross, crucifix;tseylem (tslomem)
געטרײַ;faithful, loyal;getray
פֿאָלגן;to obey;folgn
אָנװערן דאָס פּנים;to lose face (bring dishonor);onvern dos ponem
װעקן;to awaken;vekn
עס פֿאַרדריסט מיר;it upsets me;es fardrist mir
פֿאַרדריסן;to annoy, to exasperate;fardrisn
עװלה (עװלות);sin, mistreatment, injustice;avle(s)
דער שלאַק (שלעק);stroke, nasty person, shrew, nuisance;der shlak (shlek)
שולדיק;guilty;shuldik
קעגן;against, versus, as opposed to;kegn
אָנרעדן;to disparage, denigrate;onredn
טאָמער;perhaps, lest, in case;tomer
רירן;to move (physically or emotionally);rirn
דער שלאָס (שלעסער);lock (noun);der shlos (shleser)
פֿאַרשליסן;to lock;farshlisn
מישן;to mix;mishn
די שורה (שורות);line (e.g., of text);di shure(s)
די הױזן;pants;di hoyzn
רײצנדיק;sexy;reytsndik
דער קני(ען);knee;der kni(en)
די לופֿט(ן);air;di luft(n)
דער לופֿטגעשעפֿט;a business built on air;der luftgesheft
דער לופֿטמענטש(ן);one who chases pie in the sky dreams, selling things no one wants, etc;der luftmentsh(n)
דער טאַש(ן);purse, bag;der tash(n)
אַהער, אַהין;this way and that way, hither and yon;aher, ahin
דער פּלױט(ן);fence;der ployt(n)
דער שטערן;star;der shtern (singular same as plural)
פֿינצטער;dark;fintster
דער שליח / די שליחה (שליחים);emissary, messenger, proxy, agent;der shliekh / di shlikhe (shlikhem)
די שױב(ן);window pane, shutter;di shoyb(n)
דאגהן;to worry;daygen
די רחמנא (רחמנות);mercy, pity;di rakhmone (rakhmones)
מרחם;show mercy;merakhem
פֿאַרגינען;indulge, feel pride for another person;farginen
אָפּזאָגן;to refuse, dismiss;opzogn
דער גנבֿ / די גנבֿטע (גנבֿים);thief, fraudster, crook;der ganef / di ganefte (ganovim)
אָנשטעקן (זיך פֿון);to infect (catch a disease from);onshtekn (zikh fun)
די קראַנקן-שװעסטער;nurse;di krankn-shvester (plural same as singular)
טױשן;to exchange;toyshn
דער קראַסאַװעצ(ן) / די קראַסאַװיצע(ס);beautiful man / beautiful woman;der krasavets(n) / di krasavitse(s)
גולאַיען;to make merry, to enjoy oneself, to carouse;gulayen
גולאַיעװען;to stroll;gulayeven
אָנטאָן;to put on, to clothe;onton
דאָס ראָד (רעדער);wheel;dos rod (reder)
דער כּתבֿ(ים);writing, document, handwriting;der ksav (ksovim)
דער טשװאָק(ן);nail;der tshvok(n)
דער שרױפֿ(ן);screw, bolt;der shroyf(n)
די ברעט(ער);board, plank;di bret(er)
די צונג(ען);tongue;di tsung(en)
די שׂרפֿה (שׂרפֿות);fire, blaze;di sreyfe(s)
יאָגן;to chase, to pursue;yogn
דער רידל(ן);shovel;der ridl(n)
דער גלאָק(ן);bell;der glok(n)
דאָס בלעך(ן);tin, sheet metal;dos blekh(n)
די האַק (העק);axe;di hak (hek)
דאָס רעקל(עך);jacket, coat;dos rekl(ekh)
דאָס מעש;brass;dos mesh
דער רױך(ן);smoke;der roykh(n)
דער שטריק;rope, cord;der shtrik (plural same as single)
דער האָן (הענער) / די הון (הינער);rooster / hen;der hon (hener) / di hun (hiner)
די פֿלאַש (פֿלעשער);bottle;di flash (flesher)
דער צאָרן;great anger, rage, wrath;der tsorn
דער שעפּס(ן);sheep;der sheps(n)
די פֿעל;skin, hide;di fel
דער תּל(ים);ruins, shambles;der teyl (tilem)
תּיכּף;immediately;tekyef
דער זיג(ן);victory;der zig(n)
זיגן;to overcome, conquer, win;zign
דער װעג(ן);way (wide path);der veg(n)
געפֿאַרליק;dangerous;gefarlik
שנעל;quick, fast;shnel
די שׂמחה (שׂמחות);party, celebration;di simkhe(s)
די בריק(ן);bridge;di brik(n)
פֿאַרברענט;burnt;farbrent
דער ניטל(ען), קראַצמאַך;Christmas;der nitl(en), kratsmakh (pejorative)
דער קעלער(ס);cellar, basement;der keler(s)
דער אומגליק(ן);disaster, misfortune, accident;der umglik(n)
דער שימל;mold;der shiml
פֿאַרשימלט;moldy;farshimlt
די מגפֿה (מגפֿות);plague, epidemic;di mageyfe(s)
דער נחת;pleasure, satisfaction (esp. pleasure that parent derives from child);der nakhes
שעפּן נחת;to derive pleasure;shepn nakhes
אײנעם פֿון די ערשטע;one of the first;eynem fun di ershte
דאָס קאָמפּאַקטל(עך);CD;dos compaktl(ekh)
אין אַ קומענדיקע יאָר;in the next year;in a kumindike yor
דאָס װיגליד(ער);lullaby;dos viglid(er)
דער מלך(ים);king;der meylekh (melokhem)
די מלכּה (מלכּות);queen;di malke(s)
װײ און װינד;misfortune, "alas and alack";vey un vind
דער גאָרטן (גערטנער);garden;der gortn (gertner)
דער בױך (בײַכער);belly, stomach;der boykh (baykher)
דער לײטער(ס);ladder;der leyter(s)
די אײניקײַט(ן);unity, solidarity;di eynikayt(n)
דער יושר, די גערעכטיקײַט;justice;der yoysher, di gerekhtikayt
קאַליע;ruined (adj);kalye
דער שמיד(ן);smith, blacksmith;der shmid(n)
דער מוט;courage, bravery;der mut
מוטיק;brave, courageous;mutik
באַצױבערן;to enchant, charm, captivate;batsoybern
קילן;to become cold;kiln
דער העלד(ן);hero, protagonist;der held(n)
דער פֿאַך(ן);trade, profession, occupation;der fakh(n)
דער אַלמן(ס) / די אַלמנה (אַלמנות);widower / widow;der almen(s) / di almone(s)
פֿאַרליבט;in love (adj);farlibt
דאָס אײַזן(ס);iron;dos ayzn(s)
אײדל;noble, refined, classy;eydl
קלאָר;clear, sane;klor
דער ממזר(ים) / די ממזרת;bastard;der mamzer (mamzeyrem) / di mamzeyres
די נסיעה (נסיעות);trip, journey;di nesie(s)
אַן אַמעריקאַנער װאָס װױנט אין איסלאַנד שױן 20 יאָר;an American who has been living in Iceland for 20 years;an amerikaner vos voynt in island shoyn tsvantsik yor
אַן אַנדער מאָל איך װעל;another time I will...;an ander mol ikh vel (not "an ander tsayt")
גוט פֿאַרברענגען;to have a good time;gut farbrengen
די פֿאָרשטאָט (פֿאָרשטעט);the suburbs;di forshtot (forshtet)
די סוכּה;sukkah;di suke
דער סכך;sukkah roof;der skhakh
דער לולבֿ(ים);plant put together for Sukkot (lit., palm);der lulev(em)
שׂמחת-תּורה;simchat torah holiday;simkhes-toyre
די פֿאָן(ען);flag;di fon(en)
די בימה (בימות);the platform in synagogue where the Torah is read;di bime(s)
די הדס(ים);myrtle (plant in lulev);di hadas(im)
די ערבֿות;willow (plant in lulev);di aroves
פּראַװען;to celebrate;praven
בענטשן;to bless;bentshn
עס איז פֿאַראַן אַ;there is a ...;es iz faran a ... (synonym with עס איז דאָ אַ)
דאָס פֿעלד(ער);field;dos feld(er)
דױערן;to last, endure;doyern
טײל פֿרומע ייִדן;some pious Jews ...;teyl frume yidn ...
אַרױף;up, on top (adverbial complement for konverbs);aruf
דער שרעק(ן);fear, alarm, terror;der shrek(n)
דער צער;sadness, sorrow;der tsar
אַנשטאָט;instead of;anshtot
דער חומש(ים);pentateuch in book form (as opposed to Torah scroll);der khumesh (khumoshem)
דער ספֿר-תּורה (ספֿרי-תּורות);Torah scroll;der seyfer-toyre (sifrey-toyres)
דער אָנדענק(ען);memorial;der ondenk(en)
דער מדבר(יות);desert;der midber (midboryes)
פֿעסט;tight, firm;fest
אײַנזאַמלן;to gather (e.g., crops);aynzamln
די תּבֿואה (תּבֿואות);grain;di tvue(s)
נעכטיקן;to stay the night, to stay over, to crash;nekhtikn
די פּרשה (פּרשיות);weekly Torah portion;di parshe (parshiyes)
די הקפֿה (הקפֿות);Torah procession;di hakofe(s)
זײַן משׂמח;to make merry, entertain;zayn mesameyekh
בשותּפֿותדיק;bshutfesdik;joint, common
דער זמן(ים);semester;der zman(em)
צוגרײטן;to prepare;tsugreytn
פּענסיאָנר;to retire;pensyonr
דער בראָקאָלי;broccoli;der brokoli
דער קאָליפֿיאָר;cauliflower;der kolifyor
די פּערל קאַשע;barley;di perl kashe
װאָס עסטו אױף פֿרישטיק?;what do you eat for breakfast;vos estu af frishtik (note that אױף is generally like English "for", as a preposition for events)
שױן אײן מאָל אַ סאַלאַט!;that's some salad!;shoyn eyn mol a salat! (any noun can be used inplace of salad, can be used in sarcastic or genuine manner)
אַרײַנטאָן;to place inside (e.g., "to put in a salad");araynton
די לימענע(ס);lemon;di limene(s)
צעשנײַדן;to cut apart;tseshnaydn
באַטעמט;tasty;batamt
איך האָב ליב צו עסן עפּל;I like to eat apples;ikh hob lib tsu esn epl (when saying "I like to VERB", the preposition צו is used along with the infinitive)
איך האָב ליב אַרײַנצוטאָן עפּל אין סאַלאַטן;I like to put apples in salads;ikh hob lib arayntsuton epl in salat (when saying "I like to VERB" where VERB is a konverb, the preposition צו is placed between the adverbial complement and the stem, like גע in the past tense)
צװײ מענטשן אין יעדער גרופּע;two people in each group;tsvey mentshn in yeder grupe
די מאַשין(ען);machine;di mashin(en)
דער סאָרט(ן);sort, kind, type;der sort(n)
דער פּחד(ים);fear, terror;der pakhed (pkhodim)
דער חודש (חדשים);month;der khoydesh (khadoshem)
די נאָטן;sheet music;di notn
זעלב;same;zelb
עס קאָסט נישט קײן געלט;it costs no money;es kost nisht keyn gelt
איך װעל;I + future auxiliary verb;ikh vel
דו װעסט;you (sing.) + future auxiliary verb;du vest
ער װעט;he + future auxiliary verb;er vet
מיר װעלן;we + future auxiliary verb;mir veln
איר װעט;you (pl.) + future auxiliary verb;ir vet
זײ װעלן;they + future auxiliary verb;zey veln
איך װעל גײן;I will go;ikh vel geyn
איך װיל גײן;I want to go;ikh vil geyn
איך װאָלט געװאָלט גײן;I would like to go;ikh volt gevolt geyn
ימים-נוראָים;high holidays, "days of awe";yomim neroim
ראָש-השנה;Rosh Hashanah;rosh-eshone
יום-כּיפּור;Yom Kippur;yom-kiper (yom is more like "yong", lips don't close)
הילכן;to echo, to resound;hilkhn
שאַלן;to resound, to howl;shaln
הײַטערן;to cheer;haytern
דאָס גליק(ן);happiness;dos glik(n)
די פֿרײד(ן);joy;di freyd(n)
דער גײַסט(ער);spirit (as in ghost or as in "bring their spirits up");der gayst
לשנה-טובֿה;"good year" (greeting on Rosh Hashanah);leshone-toyve
מחזור;prayerbook for high holidays;makhzer
די תּפֿילה (תּפֿילות);prayer;di tfile(s)
דער װידער(ס);ram (male sheep);der vider(s)
דער האָרן (הערנער);horn;der horn (herner)
דער שופֿר (שופֿרות);shofar (ram's horn trumpet, blown on Rosh Hashanah);der shoyfer (shoyfres)
דער ספֿר(ים);religious book;der seyfer (sforem)
דאָס קיטל(עך);kittel (white robe worn by Jewish men on holidays);dos kitl(ekh)
דער קול(ער);voice, cry;der kol (keler)
תּכּתבֿו;to be inscribed;tikoseyvu (appended to לשנה-טובֿה as part of Rosh Hashanah greeting)
דאָס געפֿיל(ן);feeling (sensation or emotion);dos gefil(n)
ערנסט;serious, grave, earnest;ersnt
די זינד;sin;di zind (plural same as singular)
אָפּרײניקן;to cleanse (e.g., sin);opreynikn
דערקענען;to recognize, to identify;derkenen
רינגלט עס אַרום;circle it;ringlt es arum
דאָס געװיסן(ס);conscience;dos gevisn(s)
דער טאָן (טענער);tone, sound;der ton (tener)
שװעבן;to float, to hover (in air);shvebn
(די) סוכּות;Sukkot;(di) sukes
די אַחריות;responsibility;di akhroyes
זײ האָבן צו טאָן נישט מיטן נאַטור-לעבן;they don't have to do with natural life;zey hobn tsu ton nisht mitn natur-lebn
דער יחיד / די יחידה;individual;der yokhid (masc.) / di yekhide (fem.)
די הוליאַנקע(ס);wild party;di hulyanke(s)
דער אומעט;sadness, gloom, melancholy;der umet
דער ציטער(ס);tremble, quiver;der tsiter(s)
מרה-שחורה;depression, despondency;more-shkhoyre
דער שאָטן(ס);shadow;der shotn(s)
זײַן יוצא;to fulfill an obligation;zayn yoytse
די פֿאָרשפּיל(ן);prelude;di forshpil
ערשט נאָך דעם װי;only after ...;ersht nokh dem vi ...
פֿײַערן;to celebrate;fayern
גאָר;whole, entire (adj), very, no more (adv);gor
טיפֿ;deep;tif
באַגיסן;to drench, to cover (as liquid);bagisn
פֿאַרגעבן;to forgive;fargebn
דער שולע(ס);school (for children);der shule(s) (originally, שול meant school, but has largely come to mean synagogue in Yiddish)
די פּראָבע(ס);audition, rehearsal;di probe(s)
מען האָט מיך אָנגענומען;I was accepted (e.g., into college);men hot mikh ongenumen
טאַלאַנטירט;talented;talantirt
דער חידוש(ים);novelty, surprise, wonder;der khidesh (khidushem)
דער עראָפּלאַן(ען), דער אַװיאָן(ען);airplane;der eroplan(en), der avyon(en)
איבערבעטן;to ask forgiveness, to make up;iberbetn
די פֿיסטאַשקע(ס);pistachio;di fistashke(s)
דער תּנאַי (תּנאָים);condition (requirement), engagement agreement (in plural);der tnay (tnoyem)
שרײַבן תּנאָים;to get engaged;shraybn tnoyem
דער חכם (חכמים) / די חכמה;sage, wise man, wise guy (sarcastic);der khokhem (khakhomem) / di khakhome
די עבֿירה (עבֿירות);sin, waste;di aveyre(s)
אַפֿריער;beforehand;afrier
די אימפּעריע(ס);empire;di imperye(s)
זײַן ברוגז אױף אַ חבֿר;to be angry with a friend;zayn broygez af a khaver
צעקריגן;to quarrel, to squabble;tsekrign
דער מאַרק (מערק);market;der mark (merk)
דער פּאַק (פּעק);package;der pak (pek)
די צרה (צרות);trouble, misfortune, distress;di tsore(s)
דער עולם(ס);crowd;der oylem(s)
גענוג שױן;enough already;genug shoyn
ביז װאַנען איז דער שיעור;what is the limit?;biz vanen iz der shier / shir?
דער שיער(ים);the limit, end, lesson on the Talmud;der shier / shir (shiurim)
דער פֿאַרדראָס(ן);chagrin, annoyance, vexation;der fardros(n)
זײַן אױסער זיך;to be beside oneself;zayn oyser zikh
דער אַרבל;sleeve;der arbl
פֿליסטערן;to whisper;flistern
פֿאָרױס;ahead, forward, in front;foroys
װאַרפֿן אַ שמײכל;to toss a smile;varfn a shmeykhl
טאָ;then, so, in that case;to
שטופּן;to push, to poke;shtupn (not vulgar)
בגנבֿה;stealthily;begneyve
די סעודה (סעודות);feast, festive meal;di sude(s)
צו מאָרגנס;on the next day;tsu morgns
דאָס געזאַנג(ען);song, singing (noun);dos gezang(en)
דער טאַנץ (טענץ);dance (noun);der tants (tents)
גײן איבער די הײַזער;to go from house to house;geyn iber di hayzer
מיטצײַטלער(ס);contemporary (noun, "they were contemporaries");mittsaytler(s)
אָן אַן עק;endlessly;on an ek
קנעלן;to teach, to drill;kneln
שיטן;to pour (dry material);shitn
דאָס רענדל(עך);gold coin;dos rendl(ekh)
מאַכן אַ כּוסה;to have a drink (alcoholic);makhn a koyse
אַלצדינג;everything;altsding
די קאַפּאָטע(ס);long coat, overcoat;di kapote(s)
עס דאַרט מיר (גוט) דער מוח;I'm plagued with worry;es dart mir (gut) der moyekh (גוט is intensifying the verb)
אַצינד;now;atsind (synonym with איצט)
דער מוח(ות);brain, mind;der moyekh (moykhes)
די כּלי(ם);vessel, utensil;di keyli (keylem)
דער אַלמער;closet, wardrobe;der almer(s)
די פּאָליצע(ס);shelf, bookshelf;di politse
דער שטול(ן);chair (furniture);der shtul(n)
דער װיגשטול(ן);rocking chair;der vigshtul(n)
דאָס בילד(ער);picture;dos bild(er)
די שאַפֿקע(ס);shelf (with doors), closet;di shafke
דער טעלעװיזאָר(ן);television set;der televizor(n)
דער פֿאָטעל(ן);arm chair, footstool;der fotel(n)
די סאָפֿע(ס);sofa;di sofe(s)
די פּיאַנע(ס);piano;di pyane(s)
די װאַזע(ס);vase;di vaze(s)
אונטער;under;unter
הינטער;behind;hinter
איבער;over;iber
פֿאַר;in front of, before;far
דאָס פּראָגראַמװאַרג, דאָס װײכװאַרג;software;dos programvarg, dos veykhvarg
איבערזעצן;to translate;iberzetsn
די איבערזעצונג(ען);translation;di iberzetsung
דער איבערזעצער(ס);translator;der iberzetser(s)
איבערזעצן פֿון יִידיש אױף ענגליש;to translate from Yiddish to English;iberzetsn fun yidish af english
בײַטן;to change;baytn
די באַלײדיקונג(ען);insult (noun);di baleydikung(en)
דאָס הײַזל(עך);brothel;dos hayzl(ekh)
דער הענגלײַכטער(ס);chandelier/candelabra;der henglaykhter(s)
די ביכערשאַנק (ביכערשענק);bookshelf;di bikhershank (bikhershenk)
די טעלעװיזיע(ס);television programming;di televizye(s)
דער װינקל(ן);corner, angle;der vinkl(n)
די סטעליע(ס);ceiling;di stelye(s)
די װאַנט (װענט);wall;di vant (vent)
דאָס מעבל;furniture;dos mebl (plural same as singular)
מיט װאָס זײַנען זײ אַנדערש?;how are they different?;mit vos zaynen zey andersh?
דער טאָװל(ן);board (i.e., whiteboard or blackboard);der tovl(n)
געטראָפֿט;(you) guessed (it);getroft
נײן, פֿרעג װײַטער;no, keep asking (questions);neyn, freg vayter
די מיטלשול(ן);high school;di mitlshul
מאַגיסטערס;master's (degree);magisters
די רפֿואה (רפֿואות);medicine, healing, treatment;di refue(s)
איבערחזרן;to repeat;iberkhazern
אַרומנעמען;to embrace;arumnemen
די ראָלע(ס);role (in play);di role(s)
דער אַבסורד(ן);absurdity (n), absurd (adj);der absurd(n)
דאָס אָרט (ערטער);place, position, location;dos ort (erter)
דער שוך (שיך);shoe;der shukh (shikh)
איך לײג זיך שלאָפֿן;I go to bed;ikh leyg zikh shlofn
אױב אַזױ;if so...;oyb zo...
די זײַט(ן);side (e.g., of a table);di zayt(n)
לעבן דער מאַמען רחל;near the mom Rachel;lebn der mamen rokhel (only title is dative, not name)
ומ/נײטיק;un/necessary;um/neytik
פּאַסיק;appropriate;pasik
פֿאָר/ט געזונט און קום/ט געזונט;have a safe trip;for/t gezunt un kum/t gezunt
עסט געזונטערהײט;eat up!;est gezunterheyt
מיט אַ גוטן אַפּעטיט;bon appetit;mit a gutn appetit
רבי,האַרץ,ייִד,מענטש,זײדע,טאַטע,מומע,מאַמע,באָבע;nouns that decline;these are the only Yiddish nouns that have a dative form
דער ניפֿטר(ים);dead person (honorable), the fallen (in plural);der nifter (niftorem)
ניפֿטרװערן;to pass away;nifterern
װער נאָך?;who else?;ver nokh?
דער באַדײַט(ן) / די באַדײַטונג(ען);meaning;der badayt(n) / di badaytung(en)
חוץ;except for, in addition to;khuts
טרעפֿן;to guess, to meet;trefn
איז;filler word, "um";iz
דער בעקער פֿאַרקױפֿט דעם זײדן דעם קוכן;the baker sells the cake to the grandfather;der beker farkoyft dem zeydn dem kukhn (direct object is accusative, indirect is dative, this order is the case when neither are pronouns)
דער אומ/דירעקטער אָביעקט;in/direct object;der um/direkter obyekt
דער מיטװױנער;roommate;der mitvoyner
באַקלאָגן (זיך פֿאַר);to lament (to complain to sb);baklogn (zikh far...)
דער פּרט(ים);detail;der prat (protim)
די טפֿילין;tefillin, phylacteries;di tfiln
דער טלית(ים);prayer shawl;der tales (taleysim)
הכשר(ים);seal of kosher supervision;hekhsher (hekhsheyrem)
די כּשרות;Jewish dietary laws;di kashres
די דירה (דירות);apartment;di dire(s)
באַקװעם;comfortable, convenient;bakvem
געפֿערלעך;terrible;geferlekh (often used in negative, where it means "not too bad")
דער פּלאַן (פּלענער);plan, map;der plan (plener)
מיר האָבן געװאָלט פֿאָרן;we were going to travel;mir hobn gevolt forn
דער אױטאָ שטײט;the car is parked;der oyto shteyt
דער אות(יות);letter (symbol used for writing);der os (oysyes)
װאָס פֿעלט?;what's missing;vos felt?
פֿעלן;to lack, to fail;feln
דער פֿעלער(ן), דער טעות(ן);error, mistake;der feler(n), der toes(n)
װער גיסט דער קאַץ די מילך? דער פּיראַט גיסט זי איר;who poured the milk for the cat? the pirate poured it for her;ver gist der kats di milkh? der pirate gist zi ir. (when they're both pronouns, the direct object precedes the indirect object, the opposite of when they're both nouns)
װער קױפֿט דער טאָכטער די גיטאַרע? דער טאַטע קױפֿט זי דער טאָכטער;who bought the guitar for the daughter? the father bought it for the daughter;ver koyft der tokhter di gitare? der tate koyft zi der tokhter (when a full noun and a pronoun follow the verb, the pronoun comes first)
דער דעמב(ן);oak (tree);der demb(n)
די סאָסנע(ס);pine (tree);di sosne(s)
דער קליאָן(ען);maple (tree);der klyon (adjective form: קלינינע)
דער ראָג(ן);(street) corner;der rog(n)
דער קאָנצערטזאַל(ן);concert hall;der kontsertzal
די שענק(ען);bar (place to drink);di shenk(n)
דער קינאָ(ס);cinema;der kino(s)
דער אינטערנאַט(ן);dormitory;der internat(n)
די שטוב(ן / שטיבער);house, home;di shtub(n / shtiber)
דער קאַפֿע(ען);cafe (place to drink coffee);der kafe(en)
אַרױסגײן;to go out;aroysgeyn
פֿאַרבײַגײן;to go past;farbaygeyn
שטעלן אײנעם דעם אַנדערן פֿראַגעס;to ask each other questions;shteln eynem dem andern frages
די קונסט(ן);art;di kunst(n)
דער קינסטלער(ס);artist;di kinstler(s)
דער טעאַטער איז לעבן מוזײ;the theater is near the museum;der teater iz lebn muzey (don't use definite article when location follows לעבן)
דער טעאַטער איז אױף דעמב-גאַס, ראָג צענטער-גאַס;the theater is on the corner of oak and center streets;der teater iz af demb-gas, rog tsenter-gas
איך האָב נישט קײן אַנונג;I have no idea!;ikh hob nisht keyn anung
די אַנונג(ען);notion, idea, inkling;di anung(en)
פֿאַרקערעװען זיך (לינקס/רעכטס);to turn (left/right);farkereven zikh (links/rekhts)
דער װעלאָסיפּעד(ן), דער ביציקלעט(ן);bicycle;der velosiped(n), der bitsiklet(n)
מען גײט צו פֿוס;one goes on foot;men geyt tsu fus
איך האָב אין גאַנצן פֿאַרגעסן אײַך צו זאָגן;I completely forgot to tell you;ikh hob in gantsn fargesn aykh tsu zogn
זינט;since (e.g., since we were young);zint
געבױרן װערן;to be born; geboyrn vern
דערצו;in addition;dertsu
װידער;again (e.g., we'll see each other again);vider
די צאָל(ן);number (abstract entity), count;di tsol(n)
צוזאָגן;to promise (commit to something);tsuzogn
